mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__min_samples_split,param_model__min_weight_fraction_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.28154726028442384,0.011985972054893226,0.01417388916015625,0.002466747644123472,gini,21,0.8578947368421053,19,41,26,0.18421052631578946,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 21), ('model__max_features', 0.8578947368421053), ('model__max_leaf_nodes', 19), ('model__min_samples_leaf', 41), ('model__min_samples_split', 26), ('model__min_weight_fraction_leaf', 0.18421052631578946), ('model__n_estimators', 209)])",0.1817055503081394,0.2526276892048467,0.20128954052779985,0.1960318832561035,0.18210543606058507,0.20275201987149488,0.026092591966120498,96
0.30716819763183595,0.03042435884940918,0.01874079704284668,0.0011469816124758182,entropy,27,0.33684210526315794,57,52,5,0.05263157894736842,277,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.33684210526315794), ('model__max_leaf_nodes', 57), ('model__min_samples_leaf', 52), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.05263157894736842), ('model__n_estimators', 277)])",0.11934811550608596,0.1774206081285258,0.16045351489585077,0.15548793139221248,0.1188118127118058,0.14630439652689614,0.02338904332793978,98
0.4819019794464111,0.056990320681960645,0.01836261749267578,0.006823616896432297,gini,27,,26,12,28,0.07894736842105263,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 27), ('model__max_features', None), ('model__max_leaf_nodes', 26), ('model__min_samples_leaf', 12), ('model__min_samples_split', 28), ('model__min_weight_fraction_leaf', 0.07894736842105263), ('model__n_estimators', 209)])",0.1234405245190556,0.15144676155760195,0.16877474655555574,0.13712047859464693,0.1181305761117643,0.1397826174677249,0.018544852043613554,99
0.45728259086608886,0.04007546097526415,0.023999595642089845,0.0032121834898293984,entropy,3,1.0,48,32,7,0.39473684210526316,488,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 3), ('model__max_features', 1.0), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 32), ('model__min_samples_split', 7), ('model__min_weight_fraction_leaf', 0.39473684210526316), ('model__n_estimators', 488)])",0.2939549765938379,0.29519219644944666,0.24979926474778155,0.29207846324088804,0.3084056642921364,0.28788611306481815,0.019896963367565895,71
0.42825913429260254,0.008012793707380119,0.018884992599487303,0.002430731528625973,entropy,13,0.7631578947368421,43,55,44,0.21052631578947367,319,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 13), ('model__max_features', 0.7631578947368421), ('model__max_leaf_nodes', 43), ('model__min_samples_leaf', 55), ('model__min_samples_split', 44), ('model__min_weight_fraction_leaf', 0.21052631578947367), ('model__n_estimators', 319)])",0.1970546742390623,0.2648790149208887,0.20693430215792552,0.22840445397330383,0.19458036517048205,0.2183705620923325,0.02613367083525006,94
0.039134883880615236,0.003903553695591083,0.003725099563598633,5.4650905605183536e-05,entropy,30,0.1473684210526316,12,49,23,0.23684210526315788,44,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 30), ('model__max_features', 0.1473684210526316), ('model__max_leaf_nodes', 12), ('model__min_samples_leaf', 49), ('model__min_samples_split', 23), ('model__min_weight_fraction_leaf', 0.23684210526315788), ('model__n_estimators', 44)])",0.26414514410632667,0.3735678726898179,0.40413488718247137,0.32910298084238193,0.3352998132650944,0.34125013961721845,0.0471742886115517,50
0.15739622116088867,0.008702144898217648,0.010225486755371094,0.0012620558469611412,entropy,23,0.43157894736842106,52,36,37,0.3157894736842105,158,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 23), ('model__max_features', 0.43157894736842106), ('model__max_leaf_nodes', 52), ('model__min_samples_leaf', 36), ('model__min_samples_split', 37), ('model__min_weight_fraction_leaf', 0.3157894736842105), ('model__n_estimators', 158)])",0.2574997280361099,0.25696702416248074,0.2524740080225031,0.2617617055121378,0.25388685247942455,0.2565178636425312,0.0032230007269475713,91
0.016864538192749023,0.0016726832354053169,0.002507638931274414,0.0004492115406955774,entropy,27,0.7157894736842105,50,20,5,0.2894736842105263,3,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.7157894736842105), ('model__max_leaf_nodes', 50), ('model__min_samples_leaf', 20), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.2894736842105263), ('model__n_estimators', 3)])",0.382838819521309,0.2854092668026198,0.36302430752813314,0.41683467044747224,0.5247734974756207,0.39457611235503104,0.07809927413152691,39
0.09782204627990723,0.007957698083443114,0.004675722122192383,0.0007814332598784241,entropy,21,0.8105263157894737,25,23,14,0.0,25,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 21), ('model__max_features', 0.8105263157894737), ('model__max_leaf_nodes', 25), ('model__min_samples_leaf', 23), ('model__min_samples_split', 14), ('model__min_weight_fraction_leaf', 0.0), ('model__n_estimators', 25)])",0.10750948420105642,0.14478407793880727,0.10939164699605092,0.13785099246144267,0.11111418493671762,0.12213007730681498,0.015860202723731027,100
0.031220769882202147,0.0030914951671772205,0.0031775951385498045,0.0013754918291923326,gini,25,0.5736842105263158,16,35,18,0.15789473684210525,9,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 25), ('model__max_features', 0.5736842105263158), ('model__max_leaf_nodes', 16), ('model__min_samples_leaf', 35), ('model__min_samples_split', 18), ('model__min_weight_fraction_leaf', 0.15789473684210525), ('model__n_estimators', 9)])",0.22551332105035046,0.30866174771766175,0.38999190151971697,0.273070405975517,0.23198008161006983,0.2858434915746632,0.06011940158005582,73
